Date,Open,High,Low,Close,Volume,SMA_9,SMA_22,SMA_50,SMA_200,EMA_9,EMA_21,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ADX_14,ST_Direction,Ichi_Tenkan,Ichi_Kijun,ATR_14
2024-12-18,5591.378673034547,5592.822641403449,5503.178906221242,5559.00732421875,26029,5608.311469184027,5708.753240411932,6856.438173828125,,5627.920379612933,5882.802253784799,32.1890687842962,-332.2046989653809,-389.38624396445766,57.18154499907678,5913.356279929153,5448.320233742722,37.35042436888519,0,5651.714033522056,6803.212852712488,148.83351801834246
2024-12-19,5488.886045923446,5522.352650984594,5391.921309382489,5438.8349609375,53258,5590.117078993056,5682.233620383523,6795.458525390625,,5590.103295877847,5842.44159079868,29.49866684324145,-326.2822859877915,-376.7654523691244,50.48316638133292,5908.226554937864,5415.2766188902615,37.64512308329085,0,5601.911812241722,6717.303927945698,143.1631847501814
2024-12-20,5762.100439438983,5926.447297262221,5607.763604780156,5677.28759765625,654343,5598.356608072917,5669.676713423295,6742.7131640625,,5607.540156233527,5827.427591422095,40.18233565438106,-298.90203943248343,-361.1927697817962,62.29073034931281,5910.454908972881,5420.080344933369,35.518685889964345,0,5659.184303322355,6056.4055452061575,151.8999021692439
2024-12-23,5767.927280808891,5776.642644331684,5566.726888625546,5617.67431640625,46146,5595.728190104167,5660.454256924716,6693.45193359375,,5609.566988268072,5808.3591118752,38.6072034437192,-278.7994636904905,-344.7141085635351,65.91464487304461,5902.310160214098,5415.764595645278,33.710730757494694,0,5659.184303322355,5992.858108067374,154.65680337167456
2024-12-24,5627.634835691677,5657.46647506803,5515.131746516668,5621.50927734375,28638,5598.854654947917,5661.115278764205,6643.1637890625,,5611.955446083208,5791.372763281432,38.77347732372658,-259.566457735903,-327.6845783980087,68.1181206621057,5896.394620552941,5412.038484915809,32.24448683193429,0,5659.184303322355,5912.626982980895,156.64179973408358
2024-12-26,5614.387623196572,5677.436859039168,5526.138244223228,5601.83740234375,34464,5597.094997829861,5654.731556285511,6593.873681640625,,5609.931837335316,5774.142275923461,38.20191804715402,-243.1091073984244,-310.76948419809185,67.66037679966746,5876.553628952451,5411.615072219424,30.77280797068489,0,5659.184303322355,5796.139951886236,159.27061726086873
2024-12-27,5623.650321620894,5641.82807903669,5567.822389959958,5605.572265625,12528,5591.821506076389,5649.624578302557,6535.548466796875,,5609.059922993253,5758.817729532692,38.387616451696,-227.1467599788366,-294.0449393542408,66.8981793754042,5825.157612705651,5432.596928309974,29.406249028096173,0,5659.184303322355,5796.139951886236,156.53504605044185
2024-12-30,5648.252850661698,5659.458317778875,5394.710189547997,5527.58203125,68240,5582.027072482639,5637.038241299716,6480.464365234375,,5592.764344644603,5737.7963024160845,35.95778416780104,-218.27352346088264,-278.8906561755692,60.61713271468653,5708.099627875748,5503.119805718002,28.89775108114465,0,5659.184303322355,5796.139951886236,167.12156541369657
2024-12-31,5498.149507211583,5572.803017976589,5453.825657017576,5540.9296875,16321,5576.692762586806,5620.275324041193,6426.887294921875,,5582.397413215683,5719.8993374237125,36.6963065671695,-207.76933966805973,-264.6663928740673,56.89705320600757,5706.190462407723,5495.521793451651,28.42557441611824,0,5659.184303322355,5796.139951886236,168.17454503178118
2025-01-01,5611.100309439864,5617.674280868008,5544.51483527727,5587.1953125,15563,5579.824761284723,5601.832697088068,6378.88904296875,,5583.356993072546,5707.83533515792,39.30883427205734,-193.48111915039863,-250.4293381293336,56.94821897893496,5701.079742243988,5494.666253849762,27.681802336125948,0,5659.184303322355,5796.139951886236,167.96463563142404
2025-01-02,5587.195407228315,5613.789911314175,5456.664355847536,5493.9658203125,33393,5585.950412326389,5595.376531427557,6335.032333984375,,5565.478758520538,5688.392651990154,36.07773236037985,-187.5188418349908,-237.84723887046505,50.32839703547427,5703.09760860024,5479.181883587259,27.393133829953296,0,5660.578743405109,5796.139951886236,166.47769496281808
2025-01-03,5494.165147895453,5559.007549575576,5408.505575248787,5419.8603515625,32166,5557.347384982639,5585.058460582386,6298.150908203125,,5536.355077128931,5663.980624678549,33.70608340699775,-186.62212245015508,-227.60221558640308,40.980093136248,5713.786275416769,5446.918949192606,27.337498340713967,0,5585.676416939841,5796.139951886236,163.35440750796695
2025-01-06,5420.806543284156,5439.033908156096,5263.0832748243865,5329.61865234375,31339,5525.341200086806,5571.46699662642,6253.364892578125,,5495.007792171896,5633.584081739023,31.030935883748697,-190.99158472222007,-220.2800894135665,29.288504691346414,5740.346010895604,5393.06263168252,27.87506618196169,0,5470.260066931777,5647.057485138397,168.46624123530904
2025-01-07,5363.683486158363,5413.385859818918,5318.861618586009,5343.015625,15412,5494.3974609375,5558.167569247159,6212.783173828125,,5464.609358737516,5607.16876749002,31.895111133876725,-191.16970595171733,-214.45801272119667,23.28830676947933,5752.931761834644,5354.465259649732,28.37423632026315,0,5470.260066931777,5627.983361181232,168.60495438637903
2025-01-08,5343.015691931191,5343.015691931191,5160.640393432524,5172.9912109375,23671,5446.747884114583,5538.640602805398,6174.676611328125,,5406.285729177513,5567.698080530699,27.231628130429957,-202.69388859574883,-212.1051878961071,9.41129930035828,5787.733723966602,5272.829410799023,29.415707163070486,0,5410.0493556057,5543.543845347373,175.2286374804119
2025-01-09,5178.918132697773,5568.270684350401,5178.918132697773,5256.609375,107880,5407.974229600694,5522.889581853693,6134.180556640625,,5376.350458342011,5539.417289118818,32.461730971526805,-202.7425099033726,-210.23265229756024,7.490142394187643,5796.317237628418,5230.569725262207,28.749171014655587,0,5410.0493556057,5543.543845347373,191.5281702358862
2025-01-10,5256.609302414444,5256.609302414444,5079.811926539775,5091.216796875,21739,5359.489203559027,5497.884432705966,6090.772080078125,,5319.323726048609,5498.671789823926,28.151769903146985,-213.66385750303837,-210.91889333865583,-2.7449641643824805,5822.299065213293,5151.942145724207,28.5324629903553,0,5348.743103703891,5503.129611900999,169.32710681699362
2025-01-13,5104.713049316395,5128.5684394715945,4757.89117989469,4802.01611328125,41736,5277.3876953125,5461.913751775568,6042.097529296875,,5215.862203495138,5435.339455592773,22.52110844371876,-242.8556931170588,-217.30625329433644,-25.54943982272232,5889.24969821112,4999.889754913881,29.380473820492917,0,5187.782730381349,5342.169238578455,180.8100713791912
2025-01-14,4816.856644801855,4940.365789540364,4772.831416412162,4913.7216796875,17488,5202.557291666667,5429.915904651989,5987.8142578125,,5155.434098733611,5387.919657783204,28.472100456469192,-254.04821779515623,-224.65464619450043,-29.393571600655804,5905.161933743319,4913.776493991056,30.16791244847784,0,5185.840545604433,5342.169238578455,182.61004599182257
2025-01-15,4913.721858646517,5047.68944390734,4860.682647381544,4995.34765625,17522,5147.1552734375,5400.021084872159,5922.17314453125,,5123.416810236889,5352.231294007457,32.54902309865288,-253.4106795374537,-230.4058528630911,-23.00482667436259,5900.679294392765,4858.90005131036,30.18678482142991,0,5163.080932122546,5342.169238578455,185.16063039966951
2025-01-16,5030.35836210658,5184.346477581687,5030.009650306682,5048.287109375,23207,5105.869357638889,5374.228138316761,5858.0270703125,,5108.390870064512,5324.600004495415,35.13144368701087,-245.8002224818474,-233.4847267868424,-12.31549569500504,5888.064532584323,4820.442791634427,29.37744082749536,0,5163.080932122546,5342.169238578455,193.37442556073776
2025-01-17,5044.302852888337,5193.360365653181,4957.1988294313815,4970.2470703125,15047,5065.939181857639,5346.105801669034,5791.337109375,,5080.762110114109,5292.386101387878,33.11849792294146,-243.26188776256092,-235.4401589819861,-7.821728780574858,5889.5559236663685,4772.092611489881,28.90676421010822,0,5163.080932122546,5342.169238578455,191.33252613151788
2025-01-20,4999.132442686006,4999.331845531511,4891.061936602836,4906.40087890625,10829,5017.426432291667,5316.441872336648,5724.656103515625,,5045.889863872538,5257.29653570773,31.52694820244679,-243.5940922084901,-237.0709456272869,-6.523146581203207,5856.707001900913,4727.852861380337,28.71930085021,0,5163.080932122546,5342.169238578455,190.5677081293509
2025-01-21,4896.54014740058,4945.346182230244,4752.11412596586,4846.439453125,35645,4981.142903645833,5289.514803799716,5655.664287109375,,5005.999781723031,5219.945891836573,30.06564048378459,-245.8616129368993,-238.8290790892094,-7.032533847689905,5829.802461319642,4677.6339156334825,29.03430387637128,0,5160.19240515813,5339.28071161404,198.88824119337775
2025-01-22,4855.702721832331,4855.702721832331,4729.952471856674,4805.10400390625,18529,4930.975640190973,5249.870094992898,5589.167568359375,,4965.820626159674,5182.232992933816,29.06547343915898,-248.1337335257604,-240.6900099765196,-7.443723549240758,5794.919030906728,4630.876818702646,29.40181359915193,0,4993.280887135559,5328.199884559447,196.647147944022
2025-01-23,4810.88079237591,4895.54432598915,4747.084524233773,4790.9599609375,10410,4897.61376953125,5212.292169744318,5528.29150390625,,4930.84849311524,5146.662717297787,28.71348886218223,-248.214449853278,-242.1948979518713,-6.019551901406686,5753.267546551446,4591.440558917304,29.460282665593464,0,4961.656418754928,5328.199884559447,196.5012784746354
2025-01-24,4862.824036158707,4862.824036158707,4606.692055161413,4624.67041015625,23102,4877.90869140625,5166.981312144886,5487.26056640625,,4869.6128765234425,5099.2088711940105,24.896197345800587,-258.7142977522208,-245.4987779119412,-13.215519840279567,5715.736302969251,4530.881616952624,30.01646198965112,0,4900.026210407297,5266.569676211817,202.2285175936057
2025-01-27,4585.128055134783,4729.354679824642,4444.337482049827,4660.2294921875,32183,4849.742892795139,5124.18095259233,5454.30056640625,,4827.736199656254,5059.301654920691,27.12722490318899,-261.15574129730703,-248.6301705890144,-12.525570708292662,5674.743219616223,4485.139446399402,31.032384890522174,0,4818.848923851504,5185.392389656024,215.835157346599
2025-01-28,4721.236927393969,4742.353202705644,4412.5136557141495,4509.080078125,29472,4795.713161892361,5074.340398615057,5415.815517578125,,4764.004975350003,5009.281511575628,23.87996332661793,-272.14992250374416,-253.33412097196037,-18.81580153178382,5633.699682357167,4422.998022720957,32.06727472377273,0,4802.937010683665,5094.578150022917,226.3683179532296
2025-01-29,4482.187093291529,4758.140217462474,4482.187093291529,4735.4306640625,19485,4760.951334635417,5038.333518288352,5390.078798828125,,4758.290113092503,4984.385979983526,36.19715711685605,-259.60571662199254,-254.5884401019668,-5.017276520025746,5543.548030578819,4427.973209655556,32.902175132470134,0,4802.937010683665,5044.975257376658,217.84500729308985
2025-01-30,4682.391320471704,4820.84109574198,4537.367573710279,4578.25537109375,40288,4717.396701388889,4994.575594815341,5362.573115234375,,4722.2831646927525,4947.465015539001,32.28994146428087,-259.357365394515,-255.54222516047645,-3.815140234038552,5471.846470841386,4408.103724471114,33.17103079569308,0,4705.922750622831,5044.975257376658,225.46472683390957
2025-01-31,4579.798910502806,4653.505983007636,4522.0285023233455,4596.283203125,29370,4682.939181857639,4949.534135298295,5338.087412109375,,4697.083172379203,4915.539396228637,33.18085942136375,-254.76903107540056,-255.3875863434613,0.6185552680607032,5400.92524319008,4396.66723727867,33.47870750080176,0,4678.929918972197,5035.985986746513,208.37902834158
2025-02-01,4630.596909336506,4658.486071190974,4382.532969595314,4446.9765625,29566,4638.554416232639,4901.943714488636,5314.887607421875,,4647.061850403362,4872.942774980579,29.695874187982625,-260.18133271483657,-256.3463356177363,-3.834997097100256,5352.494060540688,4356.834210943687,34.26279061753836,0,4639.038647792232,5020.995643687094,216.1232232321127
2025-02-03,4432.384849784314,4482.186926748183,4166.491366334856,4217.88720703125,68493,4573.30810546875,4847.308571555398,5284.399765625,,4561.22692172894,4813.392268803367,25.304318220433387,-279.73164488894054,-261.0233974719772,-18.70824741696333,5317.702072835607,4279.113356851893,35.61345558489684,0,4531.017846162004,4892.082823601432,225.3152777955077
2025-02-04,4394.535202596511,4394.535202596511,4194.6294742491,4218.48486328125,96804,4509.699761284723,4796.802490234375,5254.410947265625,,4492.678510039402,4759.3097773922655,25.33534013781285,-291.8133397417123,-267.18138592592425,-24.63195381578805,5299.625898241364,4201.738896680512,36.86764448315829,0,4514.6577012467815,4892.082823601432,226.0943425823452
2025-02-05,4083.770174622613,4370.630128352201,4083.770174622613,4284.07421875,85940,4471.855740017361,4748.668789950284,5224.002802734375,,4450.957651781522,4716.106544788423,28.82870992890804,-292.7213476403449,-272.2893782688084,-20.431969371536525,5234.345617566901,4169.7656617299735,38.317939501176575,0,4452.305635182296,4848.780042968394,229.7156581186157
2025-02-06,4306.883718277499,4454.497272448856,4279.592276721834,4314.85205078125,33419,4433.48046875,4709.662464488636,5192.10556640625,,4423.736531581468,4679.628863515043,30.47260751179013,-287.6416823545551,-275.35983908595773,-12.281843268597356,5189.229807692749,4137.24499699475,38.93425165871479,0,4452.305635182296,4826.020429486507,234.47530717564047
2025-02-07,4314.852169570555,4347.721542053433,4238.455585048249,4335.76904296875,26882,4414.223687065973,4667.806085759943,5158.96228515625,,4406.143033858924,4648.368879829016,31.628430585747022,-278.7153277555226,-276.0309368198707,-2.6843909356518907,5181.128333732079,4098.721763924171,39.63244680697548,0,4452.305635182296,4826.020429486507,228.4777286571261
2025-02-10,4362.661806581296,4369.03637496507,4207.279331278401,4265.6474609375,15682,4362.025553385417,4630.280206853693,5131.555205078125,,4378.04391927464,4613.576023566151,29.83767018588219,-274.13924647665954,-275.6525987512285,1.5133522745689447,5157.238746083386,4057.803929697863,40.37749374136913,0,4452.305635182296,4826.020429486507,231.04964249362695
