Date,Open,High,Low,Close,Volume,SMA_9,SMA_22,SMA_50,SMA_200,EMA_9,EMA_21,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,ADX_14,ST_Direction,Ichi_Tenkan,Ichi_Kijun,ATR_14
2024-12-18,3129.4675936767767,3149.9092305628137,3090.251207791103,3114.3203125,339580,3100.8942057291665,2974.716708096591,2922.052236328125,,3090.445943988312,3018.7696924662123,66.70215060543177,69.3045358001632,55.59911722239048,13.705418577772718,3226.939011932088,2773.5652849429125,27.27142569791912,0,3081.6236358084498,2935.8367595384416,65.59288179395556
2024-12-19,3020.887372938558,3086.2806517282493,2976.033629389045,3056.03515625,485378,3107.7734375,2990.71299050071,2926.287607421875,,3083.56378644065,3022.157461901102,57.21431488262742,63.10838569814223,57.10097091754083,6.007414780601401,3205.5275947543155,2827.4184745816224,25.36954059269732,0,3075.275541945064,2935.8367595384416,71.67491948453117
2024-12-20,3127.5068548191584,3134.3697225256583,2877.7965591413704,2892.796875,835981,3090.9975314670137,2997.903409090909,2927.2964501953124,,3045.41040415252,3010.3974085464565,40.03748981395679,44.51281106609531,54.583338947251725,-10.070527881156416,3196.8564895261857,2842.6632370363145,24.787630811761368,0,3026.157006821227,2935.8367595384416,82.76754776915072
2024-12-23,2918.630655601753,2951.0332445807608,2882.894769332135,2919.31689453125,345080,3068.7585720486118,3006.435202858665,2929.7200244140627,,3020.191702228266,3002.1173618178013,43.02990365208333,31.551917273496656,49.97705461250072,-18.42513733900406,3197.165319502534,2841.8887332318404,24.24728601517799,0,3026.157006821227,2935.8367595384416,82.8515794720282
2024-12-24,2919.3168040427868,2951.033153109204,2852.9921845673693,2873.237548828125,376812,3041.10009765625,3008.534168590199,2930.78474609375,,2990.8008715482383,2990.401015182376,39.35489972970737,17.36195960470377,43.454035610941325,-26.092076006237555,3202.4333422161594,2829.909797432278,24.09424797051382,0,3013.754819534226,2935.8367595384416,86.14295482496489
2024-12-26,2873.629766046928,2893.5809589037594,2819.0209961561327,2851.472412109375,284062,3010.39146592882,3005.2386585582385,2929.722958984375,,2962.935179660466,2977.7711421757394,37.71635996873018,4.310364090567418,35.62530130686655,-31.31493721629913,3209.772405710124,2811.928375539876,24.326591734118296,0,2992.112251400797,2935.8367595384416,87.61705456413415
2024-12-27,2871.521758946825,2887.306450224289,2823.775856351184,2827.452392578125,88411,2976.463840060764,3000.107100053267,2928.8239208984373,,2935.838622243998,2964.105801303229,35.93804274355462,-7.880492802950357,26.924142484903168,-34.80463528785353,3216.9857891277293,2797.4942645832084,24.54233951460817,0,2992.112251400797,2939.268224549436,88.75503002269872
2024-12-30,2828.5310397533144,2891.8653624652143,2797.108861142311,2877.74755859375,835227,2947.9175889756943,2996.4639892578125,2929.2925537109377,,2924.2204095139487,2956.2550519660035,42.09457667308228,-13.329777777503296,18.87335843242188,-32.20313620992518,3219.2431786754883,2791.3838721057614,25.04227804583337,0,2981.156183893887,2970.641281788462,90.38321042156244
2024-12-31,2857.992323458632,2857.992323458632,2757.4021956193083,2791.42236328125,514316,2911.533501519097,2991.544111772017,2924.7238427734374,,2897.6608002674093,2941.270262085571,35.744967590178646,-24.333594659674414,10.23196781400262,-34.56556247367703,3229.7510342726664,2760.993301664834,25.920831437659825,0,2953.655713091061,2965.959825060196,92.16547986897037
2025-01-01,2803.432347360214,2807.8441908191107,2761.7158685606337,2798.971435546875,198476,2876.4947374131943,2986.21201393821,2920.0012060546874,,2877.9229273233027,2928.334005127508,36.64496788993742,-32.075307595630875,1.7705127320759209,-33.8458203277068,3237.3614654179614,2737.2992279414134,26.736631015784383,0,2945.8859590724837,2965.959825060196,91.17807727523568
