Ticker,Market_Cap,Sector,Industry,ROE,ROCE,PE,PB,Debt_to_Equity,OPM,Dividend_Yield,YoY_Qtr_Sales_Growth,YoY_Qtr_Profit_Growth,Profit_Growth_3Y,Avg_ROE_3Y,Pledged_Pct,Promoter_Holding,DII_Holding,FII_Holding,Public_Holding,MCap_3Y_Ago,Data_Quality
360ONE,43254.24,Financial Services,Asset Management,14.39,5.11,36.52,4.39,1.62,38.87,1.71,38.25,4.44,22.73,16.68,0.0,0.0,0.0,0.0,0.0,16349.96,100
3MINDIA,35107.59,Industrials,Conglomerates,28.9,46.81,67.13,19.95,9.6,17.22,51.0,28.38,89.28,5.01,27.5,0.0,0.0,0.0,0.0,0.0,28756.57,100
ABB,142381.23,Industrials,Specialty Industrial Machinery,0.0,23.73,91.48,18.17,1.08,11.57,58.0,-4.94,237.55,17.97,22.88,0.0,0.0,0.0,0.0,0.0,86379.96,91
ACC,24481.82,Basic Materials,Building Materials,10.93,8.36,11.49,1.19,2.08,4.87,57.0,35.66,-78.18,48.74,12.55,0.0,0.0,0.0,0.0,0.0,34114.73,100
ACMESOLAR,23597.72,Utilities,Utilities - Renewable,10.41,5.19,41.04,4.0,3.93,65.0,6.0,56.95,24.33,0.0,14.13,0.0,0.0,0.0,0.0,0.0,0.0,82
AIAENG,40300.4,Industrials,Specialty Industrial Machinery,16.95,14.0,31.69,5.02,0.13,26.68,36.0,9.61,37.88,6.35,16.04,0.0,0.0,0.0,0.0,0.0,30100.5,100
APLAPOLLO,48981.72,Basic Materials,Steel,25.31,26.34,40.68,9.25,9.4,7.44,33.0,15.36,63.32,23.3,20.34,0.0,0.0,0.0,0.0,0.0,34778.77,100
AUBANK,72089.4,Financial Services,Banks - Regional,0.0,0.0,27.51,3.6,0.0,0.0,10.0,25.45,57.42,22.75,12.57,0.0,0.0,0.0,0.0,0.0,56748.99,64
AWL,23989.22,Consumer Defensive,Packaged Foods,10.52,13.64,23.03,2.3,0.11,1.84,53.0,27.47,-28.86,21.42,8.25,0.0,0.0,0.0,0.0,0.0,54629.75,100
AADHARHFC,19772.92,Financial Services,Mortgage Finance,15.75,4.62,18.3,2.61,2.49,35.85,0.0,17.22,26.99,26.24,15.23,0.0,0.0,0.0,0.0,0.0,14378.52,100
AARTIIND,15515.9,Basic Materials,Specialty Chemicals,7.25,8.2,37.08,2.6,0.83,9.8,23.0,19.64,197.83,-8.4,6.94,0.0,0.0,0.0,0.0,0.0,18177.36,100
AAVAS,10531.0,Financial Services,Mortgage Finance,13.92,2.75,16.17,2.08,3.11,23.86,0.0,10.73,18.21,15.08,13.05,0.0,0.0,0.0,0.0,0.0,10600.38,100
ABBOTINDIA,55386.31,Healthcare,Drug Manufacturers - Specialty & Generic,34.46,36.14,35.7,11.6,3.6,27.01,1.98,6.54,7.6,17.8,32.8,0.0,0.0,0.0,0.0,0.0,44744.98,100
ACE,10616.0,Industrials,Farm & Heavy Construction Machinery,22.89,23.58,25.59,5.28,0.39,15.29,23.0,17.64,-0.69,34.24,24.2,0.0,0.0,0.0,0.0,0.0,5828.41,100
ACUTAAS,25610.11,Basic Materials,Specialty Chemicals,23.52,15.25,89.48,15.49,2.08,35.82,5.0,59.36,187.38,30.18,10.77,0.0,0.0,0.0,0.0,0.0,5203.03,100
ADANIENSOL,176192.12,Utilities,Utilities - Independent Power Producers,9.66,9.25,78.94,6.93,1.95,22.0,0.0,27.67,21.72,22.02,7.17,0.0,0.0,0.0,0.0,0.0,99754.51,100
ADANIENT,399083.75,Energy,Thermal Coal,13.66,4.16,39.54,4.65,1.2,5.02,4.0,41.98,-481.65,55.92,10.13,0.0,0.0,0.0,0.0,0.0,340444.45,100
ADANIGREEN,239581.79,Utilities,Utilities - Renewable,7.58,6.04,150.88,12.42,3.47,57.02,0.0,49.66,-19.31,19.26,6.08,0.0,0.0,0.0,0.0,0.0,158310.11,100
ADANIPORTS,411740.51,Industrials,Marine Shipping,15.59,10.29,30.66,4.29,0.64,41.03,41.0,34.83,32.09,34.11,14.96,0.0,0.0,0.0,0.0,0.0,168290.72,100
ADANIPOWER,415604.46,Utilities,Utilities - Independent Power Producers,20.91,12.91,32.55,6.4,0.82,25.21,0.0,4.04,31.4,6.16,30.01,0.0,0.0,0.0,0.0,0.0,104735.18,100
ATGL,78762.9,Utilities,Utilities - Regulated Gas,14.46,13.05,119.96,16.2,0.59,15.25,3.0,20.3,18.23,6.26,15.89,0.0,0.0,0.0,0.0,0.0,73634.02,100
ABCAPITAL,88251.58,Financial Services,Financial Conglomerates,11.18,5.04,23.6,2.56,4.92,35.63,0.0,45.43,59.49,-7.75,10.73,0.0,0.0,0.0,0.0,0.0,46498.57,100
ABFRL,7086.51,Consumer Cyclical,Apparel Manufacturing,-12.69,-5.01,-11.92,1.21,0.99,-7.63,0.0,-9.56,0.0,0.0,-10.41,0.0,0.0,0.0,0.0,0.0,24372.05,82
ABLBL,11585.22,Consumer Cyclical,Apparel Retail,12.72,56.7,67.65,8.18,2.14,30.21,51.0,1.67,-9.6,0.0,12.11,0.0,0.0,0.0,0.0,0.0,0.0,82
ABREL,13057.03,Real Estate,Real Estate Services,-8.91,-5.37,22.18,3.53,1.52,-217.82,17.0,-59.18,0.0,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,8833.14,82
ABSLAMC,30901.24,Financial Services,Asset Management,25.1,24.4,31.77,7.63,1.58,55.31,2.16,2.95,-16.64,17.81,24.57,0.0,0.0,0.0,0.0,0.0,10202.17,100
CPPLUS,39403.31,Industrials,Building Products & Equipment,25.42,25.34,104.62,20.97,9.6,16.46,0.0,71.43,320.83,50.33,27.09,0.0,0.0,0.0,0.0,0.0,0.0,91
AEGISLOG,32499.09,Energy,Oil & Gas Refining & Marketing,15.26,11.36,36.24,5.47,0.47,22.03,1.0,52.16,45.69,24.72,11.53,0.0,0.0,0.0,0.0,0.0,11855.3,100
AEGISVOPAK,22064.54,Energy,Oil & Gas Equipment & Services,10.79,7.41,69.87,5.14,0.84,50.85,0.0,22.23,17.55,0.0,12.07,0.0,0.0,0.0,0.0,0.0,0.0,82
