Ticker,Company_Name,Industry,Series
360ONE,360 ONE WAM Ltd.,Financial Services,EQ
3MINDIA,3M India Ltd.,Diversified,EQ
ABB,ABB India Ltd.,Capital Goods,EQ
ACC,ACC Ltd.,Construction Materials,EQ
ACMESOLAR,ACME Solar Holdings Ltd.,Power,EQ
AIAENG,AIA Engineering Ltd.,Capital Goods,EQ
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,EQ
AUBANK,AU Small Finance Bank Ltd.,Financial Services,EQ
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,EQ
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,EQ
AARTIIND,Aarti Industries Ltd.,Chemicals,EQ
AAVAS,Aavas Financiers Ltd.,Financial Services,EQ
ABBOTINDIA,Abbott India Ltd.,Healthcare,EQ
ACE,Action Construction Equipment Ltd.,Capital Goods,EQ
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,EQ
ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ
ADANIPOWER,Adani Power Ltd.,Power,EQ
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,EQ
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,EQ
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,EQ
ABREL,Aditya Birla Real Estate Ltd.,Realty,EQ
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ
CPPLUS,Aditya Infotech Ltd.,Capital Goods,EQ
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,EQ
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,EQ
AFCONS,Afcons Infrastructure Ltd.,Construction,EQ
AFFLE,Affle 3i Ltd.,Information Technology,EQ
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,EQ
ALKEM,Alkem Laboratories Ltd.,Healthcare,EQ
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,EQ
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,EQ
AMBER,Amber Enterprises India Ltd.,Consumer Durables,EQ
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,EQ
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,EQ
