Ticker,Premium_Pass,Criteria_Met,Criteria_Total,Fail_Reasons,Market_Cap,Sector
360ONE,False,12,14,roce_10|de_05,43254.24,Financial Services
3MINDIA,False,13,14,de_05,35107.59,Industrials
ABB,False,11,14,roe_10|de_05|yoy_sales,142381.23,Industrials
ACC,False,11,14,roce_10|de_05|yoy_profit,24481.82,Basic Materials
ACMESOLAR,False,10,14,roce_10|de_05|profit_3y|mcap_3y_ago,23597.72,Utilities
AIAENG,True,14,14,,40300.4,Industrials
APLAPOLLO,False,13,14,de_05,48981.72,Basic Materials
AUBANK,False,10,14,roce_10|roe_10|pe_vs_industry|opm_positive,72089.4,Financial Services
AWL,False,12,14,yoy_profit|avg_roe_3y,23989.22,Consumer Defensive
AADHARHFC,False,12,14,roce_10|de_05,19772.92,Financial Services
AARTIIND,False,9,14,roce_10|roe_10|de_05|profit_3y|avg_roe_3y,15515.9,Basic Materials
AAVAS,False,12,14,roce_10|de_05,10531.0,Financial Services
ABBOTINDIA,False,13,14,de_05,55386.31,Healthcare
ACE,False,13,14,yoy_profit,10616.0,Industrials
ACUTAAS,False,13,14,de_05,25610.11,Basic Materials
ADANIENSOL,False,9,14,roce_10|roe_10|de_05|pe_vs_industry|avg_roe_3y,176192.12,Utilities
ADANIENT,False,10,14,roce_10|de_05|yoy_profit|pe_vs_industry,399083.75,Energy
ADANIGREEN,False,8,14,roce_10|roe_10|de_05|yoy_profit|pe_vs_industry|avg_roe_3y,239581.79,Utilities
ADANIPORTS,False,13,14,de_05,411740.51,Industrials
ADANIPOWER,False,13,14,de_05,415604.46,Utilities
ATGL,False,12,14,de_05|pe_vs_industry,78762.9,Utilities
ABCAPITAL,False,11,14,roce_10|de_05|profit_3y,88251.58,Financial Services
ABFRL,False,6,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|opm_positive|avg_roe_3y,7086.51,Consumer Cyclical
ABLBL,False,10,14,de_05|yoy_profit|profit_3y|mcap_3y_ago,11585.22,Consumer Cyclical
ABREL,False,6,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|opm_positive|avg_roe_3y,13057.03,Real Estate
ABSLAMC,False,12,14,de_05|yoy_profit,30901.24,Financial Services
CPPLUS,False,12,14,de_05|mcap_3y_ago,39403.31,Industrials
AEGISLOG,False,13,14,pe_vs_industry,32499.09,Energy
AEGISVOPAK,False,10,14,roce_10|de_05|profit_3y|mcap_3y_ago,22064.54,Energy
AFCONS,False,4,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|pe_vs_industry|profit_3y|opm_positive|avg_roe_3y|mcap_3y_ago,11649.58,Industrials
AFFLE,True,14,14,,20198.81,Communication Services
AJANTPHARM,False,13,14,de_05,39272.26,Healthcare
ALKEM,False,13,14,yoy_profit,63387.38,Healthcare
ABDL,False,10,14,de_05|yoy_profit|avg_roe_3y|mcap_3y_ago,17018.96,Consumer Defensive
ARE&M,False,13,14,de_05,14574.31,Industrials
AMBER,False,10,14,roce_10|roe_10|pe_vs_industry|avg_roe_3y,25710.2,Consumer Cyclical
AMBUJACEM,False,9,14,roce_10|roe_10|de_05|yoy_profit|avg_roe_3y,100895.99,Basic Materials
ANANDRATHI,False,12,14,de_05|pe_vs_industry,28955.94,Financial Services
ANANTRAJ,False,12,14,roce_10|avg_roe_3y,18470.68,Real Estate
