Ticker,Date,Open,High,Low,Close,Volume,Market_Cap,Debt_Eq,Industry,index,SMA_9,SMA_22,STD_22,SMA_50,SMA_52,SMA_200,EMA_9,EMA_21,RSI_14,BB_Upper,BB_Middle,BB_Lower,BB_Flag,MACD_Line,MACD_Signal,MACD_Hist,ADX_14,Plus_DI,Minus_DI,SuperTrend,ST_Direction,OBV,ATR_14,VWAP,Tenkan,Kijun,Senkou_Span_A,Senkou_Span_B,Knoxville_Divergence,gain,up_20,up_true
509525,2026-05-25,926.0,939.9,916.05,938.05,348.0,642.87,0.49,,1,938.05,938.05,,938.05,938.05,938.05,938.05,938.05,,,938.05,,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,23.85,938.05,927.97,927.97,,,,,0,0
509525,2026-05-26,930.0,946.95,921.45,936.2,1204.0,642.87,0.49,,2,937.12,937.12,1.31,937.12,937.12,937.12,937.68,937.88,0.0,939.74,937.12,934.5,,-0.15,-0.03,-0.12,100.0,14.29,0.0,0.0,1,-1204,24.68,936.61,931.5,931.5,,,,-0.2,0,0
509525,2026-05-27,936.0,1123.0,936.0,1018.05,22702.0,642.87,0.49,,3,964.1,964.1,46.73,964.1,964.1,964.1,953.75,945.17,97.79,1057.56,964.1,870.64,,6.27,1.23,5.04,100.0,77.47,0.0,0.0,1,21498,78.78,1012.84,1019.52,1019.52,,,,8.74,1,0
509525,2026-05-28,1018.05,1018.05,1018.05,1018.05,0.0,642.87,0.49,,4,977.59,977.59,46.73,977.59,977.59,977.59,966.61,951.8,97.79,1071.05,977.59,884.13,,11.22,3.23,7.99,100.0,77.47,0.0,0.0,1,21498,59.09,,1019.52,1019.52,,,,0.0,1,0
509525,2026-05-29,1068.0,1068.0,1009.95,1021.65,5959.0,642.87,0.49,,5,986.4,986.4,45.01,986.4,986.4,986.4,977.62,958.15,97.88,1076.42,986.4,896.38,,15.26,5.64,9.63,100.0,79.16,0.0,0.0,1,27457,58.88,1014.58,1019.52,1019.52,,,,0.35,1,0
509525,2026-06-01,1021.65,1042.8,1008.0,1031.5,3822.0,642.87,0.49,,6,993.92,993.92,44.27,993.92,993.92,993.92,988.4,964.81,98.1,1082.46,993.92,905.38,,19.04,8.32,10.73,99.67,70.79,0.59,0.0,1,31279,54.87,1016.48,1019.52,1019.52,,,,0.96,1,0
509525,2026-06-02,1016.15,1034.65,1006.0,1024.75,1386.0,642.87,0.49,,7,998.32,998.32,42.06,998.32,998.32,998.32,995.67,970.26,91.72,1082.44,998.32,914.2,,21.25,10.9,10.34,99.17,65.13,1.1,0.0,1,29893,51.12,1016.8,1019.52,1019.52,,,,-0.65,1,0
509525,2026-06-03,1028.0,1030.0,1009.0,1017.85,1108.0,642.87,0.49,,8,1000.76,1000.76,39.55,1000.76,1000.76,1000.76,1000.1,974.59,86.01,1079.85,1000.76,921.67,,22.18,13.16,9.02,98.81,61.52,1.04,0.0,1,28785,47.36,1016.83,1019.52,1019.52,,,,-0.67,1,0
509525,2026-06-04,1020.0,1025.0,1010.0,1015.15,343.0,642.87,0.49,,9,1002.36,1002.36,37.3,1002.36,1002.36,1002.36,1003.11,978.28,83.96,1076.96,1002.36,927.76,,22.45,15.02,7.43,98.55,59.17,1.0,0.0,1,28442,43.76,1016.82,1019.52,1019.52,,,,-0.27,1,0
509525,2026-06-05,,,,,,,,,10,1010.4,1002.36,37.3,1002.36,1002.36,1002.36,1003.11,978.28,83.96,1076.96,1002.36,927.76,,22.45,16.5,5.94,98.34,53.26,0.9,0.0,1,28442,43.76,,1022.22,1019.52,,,,0.0,0,0
