Ticker,Sector
EICHERMOT,Auto
HEROMOTOCO,Auto
MARUTI,Auto
ESCORTS,Auto
BANCOINDIA,Auto Ancillary
BOSCHLTD,Auto Ancillary
ENDURANCE,Auto Ancillary
FMGOETZE,Auto Ancillary
FIEMIND,Auto Ancillary
GABRIEL,Auto Ancillary
LGBBROSLTD,Auto Ancillary
PRICOLLTD,Auto Ancillary
SANSERA,Auto Ancillary
SHARDAMOTR,Auto Ancillary
SHRIPISTON,Auto Ancillary
UNOMINDA,Auto Ancillary
ZFCVINDIA,Auto Ancillary
BEL,Defence
DATAPATTNS,Defence
GRSE,Defence
HAL,Defence
MAZDOCK,Defence
ZENTEC,IT
ECLERX,IT
NEWGEN,IT
PERSISTENT,IT
RATEGAIN,IT
SAKSOFT,IT
ZENSARTECH,IT
CONTROLPR,IT
DLINKINDIA,IT
AFFLE,IT
COFORGE,IT
MPSLTD,IT
OFSS,IT
KFINTECH,IT
NATIONALUM,Metals
HINDCOPPER,Metals
COALINDIA,Metals
GMDCLTD,Metals
NAVA,Metals
GRAVITA,Metals
TEGA,Metals
HDFCAMC,Financial Services
NAM-INDIA,Financial Services
360ONE,Financial Services
ANGELONE,Financial Services
MOTILALOFS,Financial Services
NUVAMA,Financial Services
IIFLCAPS,Financial Services
PRUDENT,Financial Services
CRISIL,Financial Services
CARERATING,Financial Services
ICRA,Financial Services
GMBREW,FMCG
PICCADIL,FMCG
SDBL,FMCG
ITC,FMCG
JYOTHYLAB,FMCG
BIKAJI,FMCG
BECTORFOOD,FMCG
DODLA,FMCG
LTFOODS,FMCG
KEI,Electricals
POLYCAB,Electricals
HSCL,Capital Goods
AIAENG,Capital Goods
GODFRYPHLP,Capital Goods
AHLUCONT,Capital Goods
CEMPRO,Capital Goods
INTERARCH,Capital Goods
MANINFRA,Capital Goods
NBCC,Capital Goods
NCC,Capital Goods
POWERMECH,Capital Goods
TECHNOE,Capital Goods
ACE,Capital Goods
APLAPOLLO,Capital Goods
MAHSEAMLES,Capital Goods
WELCORP,Capital Goods
CUMMINSIND,Industrial
INGERRAND,Industrial
KIRLOSBROS,Industrial
KIRLPNU,Industrial
SHAKTIPUMP,Industrial
GRAUWEIL,Industrial
ABB,Power
ATLANTAELE,Power
ELECON,Power
TDPOWERSYS,Power
TRANSRAILL,Power
TRITURBINE,Power
VOLTAMP,Power
PFC,Power
RECLTD,Power
DPABHUSHAN,Jewellery
GOLDIAM,Jewellery
POKARNA,Jewellery
MEDANTA,Healthcare
INDRAMEDCO,Healthcare
KOVAI,Healthcare
TAJGVK,Hotels
TRAVELFOOD,Hotels
BLUESTARCO,Consumer Durables
LGEINDIA,Consumer Durables
LINDEINDIA,Chemicals
EPIGRAL,Chemicals
VISHNU,Chemicals
SBILIFE,Insurance
TCI,Logistics
GESHIP,Logistics
CASTROLIND,Oil
GULFOILLUB,Oil
TIPSMUSIC,Media
DBCORP,Media
POLYMED,Medical Devices
AIIL,Diversified
KSCL,Diversified
SHILCTECH,Diversified
WAAREERTL,Diversified
NESCO,Diversified
VESUVIUS,Diversified
MCX,Diversified
COROMANDEL,Diversified
ORKLAINDIA,Diversified
HBLENGINE,Diversified
RAILTEL,Diversified
AGI,Diversified
ABBOTINDIA,Pharma
ACUTAAS,Pharma
ALIVUS,Pharma
ALKEM,Pharma
CAPLIPOINT,Pharma
CIPLA,Pharma
INNOVACAP,Pharma
JBCHEPHARM,Pharma
MARKSANS,Pharma
SUPRIYA,Pharma
TORNTPHARM,Pharma
SAFARI,Retail
TRENT,Retail
DOMS,Retail
HYUNDAI,Retail
GRWRHITECH,Plastics
KINGFA,Plastics
TIMETECHNO,Plastics
STYLAMIND,Plastics
JWL,Jewellery
ARVSMART,Real Estate
GANESHHOU,Real Estate
LODHA,Real Estate
MARATHON,Real Estate
INDIASHLTR,Real Estate
NUCLEUS,Software
BLS,Industrial
EIEL,Industrial
ARSSBL,NBFC
AUBANK,NBFC
BAJFINANCE,NBFC
GROWW,NBFC
CANFINHOME,NBFC
CHOLAHLDNG,NBFC
CHOLAFIN,NBFC
HUDCO,NBFC
HOMEFIRST,NBFC
MUTHOOTFIN,NBFC
SHRIRAMFIN,NBFC
SUNDARMFIN,NBFC
BAJAJHLDNG,Holdings
SYSTMTXC,Holdings
TVSHLTD,Holdings
